plot	gene	annotation	p-value	odds
96	ALB	Cirrhosis	1	0.803133285208828
97	ALB	Obesity	0.431536065721766	0.422029581135603
98	ALB	Alcohol	0.266443223410987	2.68561442025181
99	ALB	Smoker	0.105980651918562	3.74798723525677
100	ALB	Fam Hx Liv C	1	1.19091886220074
101	ALB	Albumin	1	1.0218531513461
102	ALB	Bilirubin	1	0
103	ALB	ALT	0.458102924925108	0.561276634341084
104	ALB	AFP	0.0334996463458928	0.123541191857091
105	ALB	Multinodular	0.0862496486823536	3.64955605190808
106	ALB	Risk Group	0.431218930427593	0.329843761367881
107	ALB	Class MO1	0.00688473213029689	7.25427965704626
108	ALB	Class MO2	0.270484000707014	0.275067566297128
109	ALB	Class MO3	1	0.572168580569987
110	ALB	Class MO4	0.261015442409481	0.252485039205218
111	SMC6	Age	0.259455232200203	3.35754588081958
112	SMC6	Sex	0.261209005141516	3.15039669930811
113	SMC6	HCV	0.257779287020432	0.374648527203708
114	SMC6	HBV	0.22431875708162	0.375516379253371
115	SMC6	HDV	0.243246726993253	0.220856608792797
116	SMC6	Stage	1	1.08918403980104
117	SMC6	Tumor Size	0.353344768439108	0.245896956410475
118	SMC6	Cirrhosis	1	1.03778611413079
119	SMC6	Obesity	0.655673274094327	1.7939696878909
120	SMC6	Alcohol	0.462407676585481	2.09249596374865
121	SMC6	Smoker	0.622389546472092	1.69231813362459
122	SMC6	Fam Hx Liv C	1	1.17185021550287
123	SMC6	Albumin	1	0
124	SMC6	Bilirubin	0.0492307552662592	10.8021952112221
125	SMC6	ALT	1	0.714680285043117
126	SMC6	AFP	0.36727472798505	0.288522110836788
127	SMC6	Multinodular	0.57335819089532	0
128	SMC6	Risk Group	0.338068732216076	2.81872015905855
129	SMC6	Class MO1	1	0.890460070542741
130	SMC6	Class MO2	1	1.14417592223701
131	SMC6	Class MO3	1	0.908728952823733
132	SMC6	Class MO4	1	1.04920455141661
133	APOB	Age	1	1.28695617167049
134	APOB	Sex	0.479129436429891	2.04585737229522
135	APOB	HCV	0.728707356068031	1.43719638416118
136	APOB	HBV	1	0.820589230568958
137	APOB	HDV	0.470385411295885	0.456985357302302
138	APOB	Stage	0.0436166209751116	Inf
139	APOB	Tumor Size	0.244203410352134	3.00887569991706
140	APOB	Cirrhosis	0.0517057956160708	0.12025838465274
141	APOB	Obesity	1	1.16355735070525
142	APOB	Alcohol	1	1.14033877770494
143	APOB	Smoker	1	0.794516113028408
144	APOB	Fam Hx Liv C	0.33038142193516	0
145	APOB	Albumin	1	0
146	APOB	Bilirubin	1	0
147	APOB	ALT	0.25317174194736	3.84281342964723
148	APOB	AFP	1	0.929818130466445
149	APOB	Multinodular	0.641275761750978	1.48945898897766
150	APOB	Risk Group	1	0.945868128873576
151	APOB	Class MO1	0.119773434564753	3.3430247857083
152	APOB	Class MO2	1	0.783827834016642
153	APOB	Class MO3	0.333450813580176	0
154	APOB	Class MO4	1	0.71778354765413
155	RB1	Age	0.428255877801627	2.7121625915086
156	RB1	Sex	1	1.28697507238005
157	RB1	HCV	0.227737359063653	4.58490957222697
158	RB1	HBV	1	1.05476204210356
159	RB1	HDV	0.250615730109942	0.264018976220955
160	RB1	Stage	1	1.6724671847874
161	RB1	Tumor Size	0.664236706689537	1.67185914456505
162	RB1	Cirrhosis	1	0.671379899038074
163	RB1	Obesity	0.358839889692884	0.264987201390561
164	RB1	Alcohol	0.528427786478492	1.65067436618522
165	RB1	Smoker	1	1.24529713309544
166	RB1	Fam Hx Liv C	1	0.921211153980488
167	RB1	Albumin	0.477902192172616	1.97194806028481
168	RB1	Bilirubin	1	0
169	RB1	ALT	1	0.973389997434447
170	RB1	AFP	1	1.2796818898252
171	RB1	Multinodular	0.585127620112001	0
172	RB1	Risk Group	0.044081838742542	5.49604697527871
173	RB1	Class MO1	1	0.890460070542741
174	RB1	Class MO2	0.665503444918874	0.442186227342993
175	RB1	Class MO3	1	0.908728952823733
176	RB1	Class MO4	0.385270347532434	2.12172332848539
177	FKBP9	Age	0.259455232200203	0.29783658526087
178	FKBP9	Sex	0.471661758099136	0.532088068318228
179	FKBP9	HCV	1	1.16859400477451
180	FKBP9	HBV	0.421475221905547	3.21312789442513
181	FKBP9	HDV	0.701425332542647	0.546016140605134
182	FKBP9	Stage	0.400064505724883	3.65049324435204
183	FKBP9	Tumor Size	0.353344768439108	0.245896956410475
184	FKBP9	Cirrhosis	0.42272275886973	2.21886140517666
185	FKBP9	Obesity	1	1.16355735070525
186	FKBP9	Alcohol	1	0
187	FKBP9	Smoker	0.16835215904658	0
188	FKBP9	Fam Hx Liv C	1	0.753243561613013
189	FKBP9	Albumin	0.136165445231056	4.7969587734316
190	FKBP9	Bilirubin	0.468409504757573	2.05204483465639
191	FKBP9	ALT	1	1.24554106447153
192	FKBP9	AFP	1	0.821195255621125
193	FKBP9	Multinodular	0.60938916279551	1.81954422598105
194	FKBP9	Risk Group	0.615232070943335	1.75182672740054
195	FKBP9	Class MO1	1	1.13655685927639
196	FKBP9	Class MO2	1	0.542004378040763
197	FKBP9	Class MO3	1	1.10928140875466
198	FKBP9	Class MO4	0.665723046123628	1.33734582498095
199	LRP1B	Age	0.709590287137335	0.567094981018656
200	LRP1B	Sex	0.145459991014825	0.279396965057522
201	LRP1B	HCV	0.257779287020432	0.374648527203708
202	LRP1B	HBV	0.421475221905547	3.21312789442513
203	LRP1B	HDV	0.701425332542647	0.546016140605134
204	LRP1B	Stage	0.113049158492755	0.269837854700198
205	LRP1B	Tumor Size	0.700446473615175	1.49622292729888
206	LRP1B	Cirrhosis	1	0.753780890727622
207	LRP1B	Obesity	0.263311896935356	0.339319560052995
208	LRP1B	Alcohol	0.21976233762805	3.18231111970381
209	LRP1B	Smoker	0.214460131034128	2.80194167134581
210	LRP1B	Fam Hx Liv C	0.623339549838527	1.65127789786003
211	LRP1B	Albumin	1	0
212	LRP1B	Bilirubin	1	0
213	LRP1B	ALT	0.100484102505737	0.243337106885192
214	LRP1B	AFP	0.159300682053179	5.62424524308521
215	LRP1B	Multinodular	0.641275761750978	1.48945898897766
216	LRP1B	Risk Group	0.322473864052394	0
217	LRP1B	Class MO1	0.165596071036314	0
218	LRP1B	Class MO2	1	0.542004378040763
219	LRP1B	Class MO3	1	1.10928140875466
220	LRP1B	Class MO4	0.045147343402235	6.2036158996798
221	DYNC2H1	Age	1	1
222	DYNC2H1	Sex	0.471661758099136	0.532088068318228
223	DYNC2H1	HCV	0.257779287020432	0.374648527203708
224	DYNC2H1	HBV	1	1.29097229782747
225	DYNC2H1	HDV	1	1.04282586672985
226	DYNC2H1	Stage	0.0436166209751116	Inf
227	DYNC2H1	Tumor Size	0.244203410352134	3.00887569991706
228	DYNC2H1	Cirrhosis	0.670127290782703	0.486820415806838
229	DYNC2H1	Obesity	1	1.16355735070525
230	DYNC2H1	Alcohol	1	1.35370888724819
231	DYNC2H1	Smoker	1	0.975395949872958
232	DYNC2H1	Fam Hx Liv C	1	0.753243561613013
233	DYNC2H1	Albumin	1	0
234	DYNC2H1	Bilirubin	1	0
235	DYNC2H1	ALT	0.409005984769367	3.2060807193058
236	DYNC2H1	AFP	0.645673847671628	1.97424578404938
237	DYNC2H1	Multinodular	0.119912539155722	3.80484845349412
238	DYNC2H1	Risk Group	0.615232070943335	1.75182672740054
239	DYNC2H1	Class MO1	1	1.13655685927639
240	DYNC2H1	Class MO2	1	0.542004378040763
241	DYNC2H1	Class MO3	1	1.10928140875466
242	DYNC2H1	Class MO4	0.665723046123628	1.33734582498095
243	PNRC2	Age	0.673289073029502	2.10678389632317
244	PNRC2	Sex	1	0.940264013069641
245	PNRC2	HCV	1	1.41425988397634
246	PNRC2	HBV	0.351643562318153	0.388911122784709
247	PNRC2	HDV	1	0.856059123199995
248	PNRC2	Stage	0.407768332296634	2.94890600011482
249	PNRC2	Tumor Size	1	0.69783355754927
250	PNRC2	Cirrhosis	1	1.0392982230798
251	PNRC2	Obesity	1	1.16355735070525
252	PNRC2	Alcohol	0.528427786478492	1.65067436618522
253	PNRC2	Smoker	0.662138015264503	0.463791973586509
254	PNRC2	Fam Hx Liv C	1	0.921211153980488
255	PNRC2	Albumin	0.477902192172616	1.97194806028481
256	PNRC2	Bilirubin	1	0
257	PNRC2	ALT	0.1646762852845	Inf
258	PNRC2	AFP	1	1.2796818898252
259	PNRC2	Multinodular	0.585127620112001	0
260	PNRC2	Risk Group	0.130089899524061	3.81293836556567
261	PNRC2	Class MO1	1	1.13655685927639
262	PNRC2	Class MO2	0.647583986610957	1.45742130456978
263	PNRC2	Class MO3	0.578836783259047	0
264	PNRC2	Class MO4	0.665723046123628	1.33734582498095
265	PCLO	Age	0.187532920408103	0.321505365855647
266	PCLO	Sex	1	1.15754635574782
267	PCLO	HCV	0.749755746588401	0.802560356894187
268	PCLO	HBV	1	1.14077331586062
269	PCLO	HDV	0.194450098871299	2.36852358169147
270	PCLO	Stage	0.235845968563752	4.40043196129619
271	PCLO	Tumor Size	1	1.08921332607458
272	PCLO	Cirrhosis	1	1.04271711960938
273	PCLO	Obesity	1	0.905920764639362
274	PCLO	Alcohol	0.586037427962633	0
275	PCLO	Smoker	1	1.05618729275532
276	PCLO	Fam Hx Liv C	0.674271623288035	0.471474232934392
277	PCLO	Albumin	0.212087043739212	3.33462300981347
278	PCLO	Bilirubin	1	0
279	PCLO	ALT	0.0241753207440018	Inf
280	PCLO	AFP	1	1
281	PCLO	Multinodular	0.385518665962324	2.06689403036756
282	PCLO	Risk Group	0.108698093895807	3.57683716009744
283	PCLO	Class MO1	0.479822334425841	0.449400282988492
284	PCLO	Class MO2	0.458495578799562	1.78451647773622
285	PCLO	Class MO3	1	0.504506214127794
286	PCLO	Class MO4	0.480394654656933	1.61950152695861
287	COL11A1	Age	0.428255877801627	0.368709458323352
288	COL11A1	Sex	0.429740927469675	2.54754778649591
289	COL11A1	HCV	0.432762838958259	0.485915574788374
290	COL11A1	HBV	0.0959788684288909	Inf
291	COL11A1	HDV	0.701425332542647	1.33130679230676
292	COL11A1	Stage	0.646105466860184	2.29100766658652
293	COL11A1	Tumor Size	0.185463121783877	4.74542917904408
294	COL11A1	Cirrhosis	0.19364448857994	4.55370931851521
295	COL11A1	Obesity	1	0.750392198434768
296	COL11A1	Alcohol	1	0
297	COL11A1	Smoker	0.622389546472092	1.69231813362459
298	COL11A1	Fam Hx Liv C	0.286710645104844	2.56073603501574
299	COL11A1	Albumin	1	0
300	COL11A1	Bilirubin	0.41525045523333	2.49755497201203
301	COL11A1	ALT	1	0.973389997434447
302	COL11A1	AFP	0.645673847671628	1.97424578404938
303	COL11A1	Multinodular	0.320070266294669	2.31149288162674
304	COL11A1	Risk Group	0.657621758042798	1.37722363741974
305	COL11A1	Class MO1	0.666565128375197	1.79114723174698
306	COL11A1	Class MO2	0.665503444918874	0.442186227342993
307	COL11A1	Class MO3	1	0.908728952823733
308	COL11A1	Class MO4	1	1.04920455141661
309	CSMD2	Age	1	1
310	CSMD2	Sex	0.50786775590767	0.587844742113783
311	CSMD2	HCV	0.511381528402099	1.72053119710691
312	CSMD2	HBV	0.262143100505342	4.32139478046538
313	CSMD2	HDV	1	1.17898750008407
314	CSMD2	Stage	0.697665784859683	1.74151759959838
315	CSMD2	Tumor Size	1	0.837472779255781
316	CSMD2	Cirrhosis	0.252935335007886	2.88154103614877
317	CSMD2	Obesity	1	1.1706583710725
318	CSMD2	Alcohol	0.266443223410987	2.68561442025181
319	CSMD2	Smoker	0.710989055481671	1.26162995790237
320	CSMD2	Fam Hx Liv C	0.190877551504985	2.75476225373516
321	CSMD2	Albumin	0.578739607543737	0
322	CSMD2	Bilirubin	1	0
323	CSMD2	ALT	0.248733600464355	4.51699097225123
324	CSMD2	AFP	0.119542590631452	4.5347384625924
325	CSMD2	Multinodular	0.186891726635551	0
326	CSMD2	Risk Group	0.0249602644308612	5.54594732995118
327	CSMD2	Class MO1	0.25463431082472	0.247566597926402
328	CSMD2	Class MO2	1	0.783827834016642
329	CSMD2	Class MO3	0.619114750617243	1.69815634942033
330	CSMD2	Class MO4	0.247828011441243	2.36356850081633
331	AK2	Age	1	0.490167261772044
332	AK2	Sex	0.109316770186335	0
333	AK2	HCV	1	0.67885243712682
334	AK2	HBV	1	1.27237999823733
335	AK2	HDV	0.135802024422751	5.59448411282813
336	AK2	Stage	0.544226737622964	Inf
337	AK2	Tumor Size	1	1.07547254230936
338	AK2	Cirrhosis	0.611483253588517	2.12590520083
339	AK2	Obesity	0.593109929997408	2.36475803392667
340	AK2	Alcohol	1	0
341	AK2	Smoker	1	1.23088442965427
342	AK2	Fam Hx Liv C	1	0
343	AK2	Albumin	1	0
344	AK2	Bilirubin	1	0
345	AK2	ALT	0.54431786607391	Inf
346	AK2	AFP	0.0815997419771004	Inf
347	AK2	Multinodular	1	0
348	AK2	Risk Group	1	1.11707767132998
349	AK2	Class MO1	0.0829271534916696	7.48984226147532
350	AK2	Class MO2	0.565709559257946	0
351	AK2	Class MO3	1	0
352	AK2	Class MO4	1	0.864653289738371
353	SPTA1	Age	0.613887086307593	0.318572507163223
354	SPTA1	Sex	0.349772874756652	0.300074330099839
355	SPTA1	HCV	0.297590144447246	0.216003265630693
356	SPTA1	HBV	0.311624221029502	Inf
357	SPTA1	HDV	0.0153864362646467	Inf
358	SPTA1	Stage	1	1.08918403980104
359	SPTA1	Tumor Size	1	1.07547254230936
360	SPTA1	Cirrhosis	0.611483253588517	2.12590520083
361	SPTA1	Obesity	0.493647912885662	0
362	SPTA1	Alcohol	1	0
363	SPTA1	Smoker	0.549762030671602	0
364	SPTA1	Fam Hx Liv C	1	0
365	SPTA1	Albumin	1	0
366	SPTA1	Bilirubin	1	0
367	SPTA1	ALT	1	0.974755336287047
368	SPTA1	AFP	1	1.25541599242843
369	SPTA1	Multinodular	0.475586109642165	2.19284969423152
370	SPTA1	Risk Group	0.56575682382134	0
371	SPTA1	Class MO1	1	0.740105484315472
372	SPTA1	Class MO2	0.0517251565638662	9.63339455393476
373	SPTA1	Class MO3	1	0
374	SPTA1	Class MO4	0.568902871322226	0
375	CSMD3	Age	0.0548483890469614	8.28208236360213
376	CSMD3	Sex	0.710627464683273	1.65471216510302
377	CSMD3	HCV	0.457963887528637	2.22637537534967
378	CSMD3	HBV	0.22431875708162	0.375516379253371
379	CSMD3	HDV	0.701425332542647	0.546016140605134
380	CSMD3	Stage	0.646105466860184	2.29100766658652
381	CSMD3	Tumor Size	0.700446473615175	1.49622292729888
382	CSMD3	Cirrhosis	0.42272275886973	0.375485466409715
383	CSMD3	Obesity	1	0.846212576246096
384	CSMD3	Alcohol	1	1.35370888724819
385	CSMD3	Smoker	0.018206665431575	7.74573984961296
386	CSMD3	Fam Hx Liv C	0.0990627759120815	4.26254598354061
387	CSMD3	Albumin	0.477902192172616	1.97194806028481
388	CSMD3	Bilirubin	0.41525045523333	2.49755497201203
389	CSMD3	ALT	0.653468327956452	2.60369845135284
390	CSMD3	AFP	0.443201760626844	0.460886710752592
391	CSMD3	Multinodular	1	0.685606827110808
392	CSMD3	Risk Group	0.372587655132615	2.21758538521711
393	CSMD3	Class MO1	0.237632619159468	2.52122430680925
394	CSMD3	Class MO2	1	0.934312856181222
395	CSMD3	Class MO3	1	0.764877052352048
396	CSMD3	Class MO4	0.426525841450354	0.340694711939343
397	VPS13A	Age	0.613887086307593	0.318572507163223
398	VPS13A	Sex	0.349772874756652	0.300074330099839
399	VPS13A	HCV	1	0.67885243712682
400	VPS13A	HBV	0.311624221029502	Inf
401	VPS13A	HDV	0.62028951200811	1.77615338354643
402	VPS13A	Stage	1	1.08918403980104
403	VPS13A	Tumor Size	0.612006861063465	0.33942144475184
404	VPS13A	Cirrhosis	0.611483253588517	0.326968918287287
405	VPS13A	Obesity	1	0.56312074977832
406	VPS13A	Alcohol	1	0
407	VPS13A	Smoker	1	0.806654704891562
408	VPS13A	Fam Hx Liv C	1	0
409	VPS13A	Albumin	1	0
410	VPS13A	Bilirubin	1	0
411	VPS13A	ALT	1	1.4907247043856
412	VPS13A	AFP	0.192872117400419	Inf
413	VPS13A	Multinodular	1	1.44502969326958
414	VPS13A	Risk Group	0.56575682382134	0
415	VPS13A	Class MO1	1	0.740105484315472
416	VPS13A	Class MO2	0.278311473472764	3.00389226279038
417	VPS13A	Class MO3	1	0
418	VPS13A	Class MO4	1	0.864653289738371
