gene	gene	p-value	odds
ALB	SPTA1	0.560269214068606	1.5670083920211
ALB	CSMD3	1	1.15280107710399
ALB	VPS13A	1	0
ALB	CSMD2	0.560269214068606	1.5670083920211
ALB	SMC6	1	0
ALB	PCLO	1	0.901849670200202
ALB	DYNC2H1	0.560269214068606	1.5670083920211
ALB	LRP1B	1	0.901849670200202
ALB	PCDH7	0.560269214068606	1.5670083920211
ALB	PNRC2	1	0
APOB	RB1	0.370357142857143	3.29902591232007
APOB	TP53	1	1.16000073130184
APOB	FKBP9	1	0
APOB	COL11A1	1	0
APOB	AK2	0.370357142857143	3.29902591232007
APOB	SPTA1	0.464133738601824	2.17795712373143
APOB	CSMD3	0.545678604466764	1.60699289871336
APOB	VPS13A	0.464133738601824	2.17795712373143
APOB	CSMD2	1	0
APOB	SMC6	1	0
APOB	PCLO	0.192317519052024	3.75376759431005
APOB	DYNC2H1	0.0066869300911854	27.1636830961827
APOB	LRP1B	0.575966697502313	0
APOB	PCDH7	0.0890273556231003	7.63045119995231
APOB	PNRC2	0.0478571428571428	15.0787569791446
RB1	TP53	1	1.44651856351756
RB1	FKBP9	1	0
RB1	COL11A1	1	0
RB1	AK2	1	0
RB1	SPTA1	1	0
RB1	CSMD3	0.276020408163265	5.07267657389232
RB1	VPS13A	1	0
RB1	CSMD2	0.225510204081633	6.77988367831052
RB1	SMC6	1	0
RB1	PCLO	0.324285714285715	4.01752648943478
RB1	DYNC2H1	1	0
RB1	LRP1B	1	0
RB1	PCDH7	1	0
RB1	PNRC2	1	0
TP53	FKBP9	0.274620060790274	3.09439634941715
TP53	COL11A1	0.594770054182635	2.02717822790499
TP53	AK2	0.161836734693878	6.24309407399517
TP53	SPTA1	1	0.945512269292891
TP53	CSMD3	0.102993260208801	5.03403543000996
TP53	VPS13A	1	0.945512269292891
TP53	CSMD2	0.561398176291793	0
TP53	SMC6	1	0.945512269292891
TP53	PCLO	0.319213691026827	0
TP53	DYNC2H1	1	0.945512269292891
TP53	LRP1B	0.172915290075327	3.30078598043517
TP53	PCDH7	1	0.945512269292891
TP53	PNRC2	1	1.44651856351756
FKBP9	COL11A1	0.353039513677812	3.37181795722117
FKBP9	AK2	0.225510204081633	6.7798836783105
FKBP9	SPTA1	0.291424229266175	4.53348055507211
FKBP9	CSMD3	1	0
FKBP9	VPS13A	0.291424229266175	4.53348055507211
FKBP9	CSMD2	1	0
FKBP9	SMC6	1	0
FKBP9	PCLO	1	0
FKBP9	DYNC2H1	1	0
FKBP9	LRP1B	0.410547112462006	2.65974418460127
FKBP9	PCDH7	1	0
FKBP9	PNRC2	1	0
COL11A1	AK2	0.276020408163265	5.07267657389232
COL11A1	SPTA1	0.353039513677811	3.37181795722113
COL11A1	CSMD3	0.423361305669354	2.49888848870088
COL11A1	VPS13A	0.353039513677811	3.37181795722113
COL11A1	CSMD2	1	0
COL11A1	SMC6	0.353039513677811	3.37181795722113
COL11A1	PCLO	1	0
COL11A1	DYNC2H1	1	0
COL11A1	LRP1B	1	0
COL11A1	PCDH7	1	0
COL11A1	PNRC2	1	0
AK2	SPTA1	0.225510204081633	6.77988367831052
AK2	CSMD3	0.276020408163265	5.07267657389232
AK2	VPS13A	1	0
AK2	CSMD2	1	0
AK2	SMC6	1	0
AK2	PCLO	1	0
AK2	DYNC2H1	0.225510204081633	6.77988367831052
AK2	LRP1B	1	0
AK2	PCDH7	1	0
AK2	PNRC2	0.172704081632653	10.0336154157143
SPTA1	CSMD3	1	0
SPTA1	VPS13A	1	0
SPTA1	CSMD2	0.291424229266175	4.53348055507211
SPTA1	SMC6	1	0
SPTA1	PCLO	0.410547112462006	2.65974418460127
SPTA1	DYNC2H1	0.291424229266175	4.53348055507211
SPTA1	LRP1B	1	0
SPTA1	PCDH7	0.291424229266175	4.53348055507211
SPTA1	PNRC2	1	0
CSMD3	VPS13A	1	0
CSMD3	CSMD2	1	0
CSMD3	SMC6	0.353039513677811	3.37181795722113
CSMD3	PCLO	0.103006475485661	6.4054519343505
CSMD3	DYNC2H1	0.353039513677811	3.37181795722113
CSMD3	LRP1B	1	0
CSMD3	PCDH7	1	0
CSMD3	PNRC2	0.276020408163265	5.07267657389232
VPS13A	CSMD2	1	0
VPS13A	SMC6	1	0
VPS13A	PCLO	0.410547112462006	2.65974418460127
VPS13A	DYNC2H1	1	0
VPS13A	LRP1B	0.410547112462006	2.65974418460127
VPS13A	PCDH7	1	0
VPS13A	PNRC2	1	0
CSMD2	SMC6	1	0
CSMD2	PCLO	1	0
CSMD2	DYNC2H1	1	0
CSMD2	LRP1B	1	0
CSMD2	PCDH7	1	0
CSMD2	PNRC2	1	0
SMC6	PCLO	1	0
SMC6	DYNC2H1	0.291424229266175	4.53348055507211
SMC6	LRP1B	1	0
SMC6	PCDH7	1	0
SMC6	PNRC2	1	0
PCLO	DYNC2H1	0.0655015197568389	9.60365725144293
PCLO	LRP1B	1	0
PCLO	PCDH7	0.410547112462006	2.65974418460124
PCLO	PNRC2	0.0346938775510204	18.823979057032
DYNC2H1	LRP1B	1	0
DYNC2H1	PCDH7	0.291424229266175	4.53348055507211
DYNC2H1	PNRC2	0.0142857142857143	35.3512219758293
LRP1B	PCDH7	1	0
LRP1B	PNRC2	1	0
PCDH7	PNRC2	0.225510204081633	6.7798836783105
