gene	gene	p-value	odds
TP53	FKBP9	1	1.53525206077313
TP53	CSMD3	0.25531475748194	5.9535720944962
TP53	SMC6	1	1.53525206077313
TP53	PCDH7	1	0.72606854676108
TP53	GTF2IRD2B	0.494736842105263	0
TP53	PCLO	0.494736842105263	0
TP53	PNRC2	1	1.53525206077313
TP53	DYNC2H1	1	1.53525206077313
TP53	CSMD2	1	0
TP53	VPS13A	1	0
AK2	COL11A1	0.403508771929824	3.42834518405021
AK2	SPTA1	0.15	Inf
AK2	FKBP9	0.284210526315789	6.73284909427579
AK2	CSMD3	0.508771929824561	2.21880095164499
AK2	SMC6	1	0
AK2	PCDH7	1	0
AK2	GTF2IRD2B	1	0
AK2	PCLO	1	0
AK2	PNRC2	0.284210526315789	6.73284909427579
AK2	DYNC2H1	0.284210526315789	6.73284909427579
AK2	CSMD2	1	0
AK2	VPS13A	1	0
COL11A1	SPTA1	0.15	Inf
COL11A1	FKBP9	0.284210526315789	6.73284909427579
COL11A1	CSMD3	0.508771929824561	2.21880095164499
COL11A1	SMC6	0.284210526315789	6.73284909427579
COL11A1	PCDH7	1	0
COL11A1	GTF2IRD2B	1	0
COL11A1	PCLO	1	0
COL11A1	PNRC2	1	0
COL11A1	DYNC2H1	1	0
COL11A1	CSMD2	1	0
COL11A1	VPS13A	0.15	Inf
SPTA1	FKBP9	0.1	Inf
SPTA1	CSMD3	1	0
SPTA1	SMC6	1	0
SPTA1	PCDH7	1	0
SPTA1	GTF2IRD2B	1	0
SPTA1	PCLO	1	0
SPTA1	PNRC2	1	0
SPTA1	DYNC2H1	1	0
SPTA1	CSMD2	1	0
SPTA1	VPS13A	1	0
FKBP9	CSMD3	1	0
FKBP9	SMC6	1	0
FKBP9	PCDH7	1	0
FKBP9	GTF2IRD2B	1	0
FKBP9	PCLO	1	0
FKBP9	PNRC2	1	0
FKBP9	DYNC2H1	1	0
FKBP9	CSMD2	1	0
FKBP9	VPS13A	1	0
CSMD3	SMC6	0.368421052631579	4.47215228572573
CSMD3	PCDH7	1	0
CSMD3	GTF2IRD2B	1	0
CSMD3	PCLO	0.368421052631579	4.47215228572573
CSMD3	PNRC2	0.368421052631579	4.47215228572573
CSMD3	DYNC2H1	0.368421052631579	4.47215228572573
CSMD3	CSMD2	1	0
CSMD3	VPS13A	1	0
SMC6	PCDH7	1	0
SMC6	GTF2IRD2B	1	0
SMC6	PCLO	1	0
SMC6	PNRC2	1	0
SMC6	DYNC2H1	1	0
SMC6	CSMD2	1	0
SMC6	VPS13A	1	0
PCDH7	GTF2IRD2B	0.284210526315789	6.73284909427579
PCDH7	PCLO	0.284210526315789	6.73284909427579
PCDH7	PNRC2	0.284210526315789	6.73284909427579
PCDH7	DYNC2H1	0.284210526315789	6.73284909427579
PCDH7	CSMD2	1	0
PCDH7	VPS13A	1	0
GTF2IRD2B	PCLO	0.194736842105263	12.3693779195011
GTF2IRD2B	PNRC2	0.194736842105263	12.3693779195011
GTF2IRD2B	DYNC2H1	0.194736842105263	12.3693779195011
GTF2IRD2B	CSMD2	1	0
GTF2IRD2B	VPS13A	1	0
PCLO	PNRC2	0.194736842105263	12.3693779195011
PCLO	DYNC2H1	0.194736842105263	12.3693779195011
PCLO	CSMD2	1	0
PCLO	VPS13A	1	0
PNRC2	DYNC2H1	0.00526315789473685	Inf
PNRC2	CSMD2	1	0
PNRC2	VPS13A	1	0
DYNC2H1	CSMD2	1	0
DYNC2H1	VPS13A	1	0
CSMD2	VPS13A	1	0
