feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
8963889 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
2022090 [ECM Org]	1	0	0	0	0	0	0	0	0	0	0
68616 [DNA Repl]	1	0	0	0	0	0	0	0	0	0	0
68867 [DNA Repl]	1	0.0012	0	0	0	0	0	0	0	0	0
390471 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
210455 [Neur Sys]	1	0.0018	0	0	0	0	0	0	0	0	0
4608870 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
162791 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
3371568 [Cell Resp]	1	0.002	8e-04	4e-04	2e-04	2e-04	0	0	0	0	0
174084 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
349425 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
177539 [Disease]	1	0.175	0.0862	0.0506	0.0212	0.023	0.0122	0.0074	0.0058	0.0046	0.0044
422475 [Dev Biol]	1	0	0	0	0	0	0	0	0	0	0
193634 [Sig Transd]	1	0.0012	6e-04	2e-04	4e-04	2e-04	0	0	0	2e-04	0
209563 [Sig Transd]	1	0.0022	4e-04	4e-04	2e-04	2e-04	0	0	0	0	0
5250924 [Gene Expr]	1	0	0	0	0	0	0	0	0	0	0
5620922 [Org Biog]	1	0	0	0	0	0	0	0	0	0	0
9024909 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
111453 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
1368108 [Circ Cl]	1	0	0	0	0	0	0	0	0	0	0
73884 [DNA Repair]	1	2e-04	0	0	0	0	0	0	0	0	0
73929 [DNA Repair]	1	2e-04	0	0	0	0	0	0	0	0	0
210991 [Hemost]	1	0	0	0	0	0	0	0	0	0	0
1461957 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
77352 [Metab]	1	0	0	0	0	0	0	0	0	0	0
77346 [Metab]	1	0	0	0	0	0	0	0	0	0	0
77350 [Metab]	1	0	0	0	0	0	0	0	0	0	0
77310 [Metab]	1	0	0	0	0	0	0	0	0	0	0
77285 [Metab]	1	0	0	0	0	0	0	0	0	0	0
77348 [Metab]	1	0	0	0	0	0	0	0	0	0	0
77305 [Metab]	1	0	0	0	0	0	0	0	0	0	0
3858494 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
196299 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
389887 [Metab]	1	0	0	0	0	0	0	0	0	0	0
390247 [Metab]	1	0	0	0	0	0	0	0	0	0	0
425381 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
194068 [Metab]	1	0	0	0	0	0	0	0	0	0	0
2173782 [Ves-med Transp]	1	0	0	0	0	0	0	0	0	0	0
173107 [Disease]	1	0	0	0	0	0	0	0	0	0	0
4411364 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
141333 [Metab]	1	0	0	0	0	0	0	0	0	0	0
211859 [Metab]	1	0	0	0	0	0	0	0	0	0	0
2466712 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
9018676 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9018677 [Metab]	1	6e-04	0	0	0	0	0	0	0	0	0
9026395 [Metab]	1	0.9646	0.9428	0.928	0.8926	0.895	0.8808	0.8204	0.7618	0.5708	0.0312
9018683 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9025094 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9026403 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9026290 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9026286 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9025106 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9023661 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9018896 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9018679 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9020265 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9027604 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9026762 [Metab]	1	0.9646	0.9428	0.9282	0.8926	0.8952	0.8808	0.8212	0.7642	0.5832	0.0272
9027307 [Metab]	1	0.0032	4e-04	0	0	0	0	0	0	0	0
9018682 [Metab]	1	0.003	6e-04	0	0	0	0	0	0	0	0
9026766 [Metab]	1	0.9712	0.956	0.944	0.921	0.9282	0.921	0.8924	0.8818	0.881	0.8776
9018681 [Metab]	1	6e-04	0	0	0	0	0	0	0	0	0
9018678 [Metab]	1	2e-04	0	0	0	0	0	0	0	0	0
446193 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
196780 [Metab]	1	0	0	0	0	0	0	0	0	0	0
9033658 [Metab]	1	0	0	0	0	0	0	0	0	0	0
70895 [Metab]	1	0	0	0	0	0	0	0	0	0	0
352238 [Prog Cell Death]	1	0.0018	4e-04	0	0	2e-04	0	0	0	0	0
162588 [Disease]	1	0	0	0	0	0	0	0	0	0	0
450385 [Metab RNA]	1	0	0	0	0	0	0	0	0	0	0
8851680 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
5621481 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
75102 [Metab RNA]	1	0.0168	0.016	0.0138	0.0056	0.0132	0.0152	0.0072	0.009	0.01	0.02
5218900 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
5621575 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
5690714 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
389356 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
389357 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
389359 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
68689 [DNA Repl]	1	4e-04	0	0	0	0	0	0	0	0	0
69017 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
68827 [DNA Repl]	1	8e-04	0	0	0	0	0	0	0	0	0
447041 [Dev Biol]	1	0	0	0	0	0	0	0	0	0	0
5607763 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
5607764 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
5660668 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
6811434 [Ves-med Transp]	1	0	0	0	0	0	0	0	0	0	0
6811436 [Ves-med Transp]	1	2e-04	4e-04	2e-04	0	2e-04	0	0	0	0	0
6807878 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
204005 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
140180 [Metab]	1	0	0	0	0	0	0	0	0	0	0
199920 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
442742 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
442720 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
442729 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
8874211 [Metab Prot]	1	0	0	0	0	2e-04	0	2e-04	0	0	0
399956 [Dev Biol]	1	0	0	0	0	0	0	0	0	0	0
2024101 [Metab]	1	0	0	0	0	0	0	0	0	0	0
389513 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
211999 [Metab]	1	8e-04	0	2e-04	0	0	0	0	0	0	0
111996 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
1296052 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
4086398 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
111997 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
111932 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
2025928 [Imm Sys]	1	0.0064	0.002	0.0012	6e-04	4e-04	4e-04	4e-04	0	2e-04	2e-04
419812 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
111933 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
901042 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
111957 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
72737 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
8955332 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
5576891 [Muscl contr]	1	0	0	0	0	0	0	0	0	0	0
5694530 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
8856825 [Ves-med Transp]	1	0	0	0	0	0	0	0	0	0	0
5620920 [Org Biog]	1	0	0	0	0	0	0	0	0	0	0
71262 [Metab]	1	0	0	0	0	0	0	0	0	0	0
140534 [Prog Cell Death]	1	2e-04	0	0	2e-04	0	0	0	0	0	0
418889 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
5357769 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
264870 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
209905 [Metab]	1	0	4e-04	0	0	2e-04	2e-04	0	0	2e-04	6e-04
426117 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
174184 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
1640170 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
69620 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
69278 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
204998 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
446728 [C-C Comm]	1	0	0	0	0	0	0	0	0	0	0
202733 [Hemost]	1	0	0	0	0	0	0	0	0	0	0
1500931 [C-C Comm]	1	0	0	0	0	0	0	0	0	0	0
421270 [C-C Comm]	1	0	0	0	0	0	0	0	0	0	0
446353 [C-C Comm]	1	0	0	0	0	0	0	0	0	0	0
2559583 [Cell Resp]	1	4e-04	0	0	0	0	0	0	0	0	0
189200 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
3371556 [Cell Resp]	1	0	0	0	0	0	0	0	0	0	0
1234174 [Cell Resp]	1	0.9766	0.9248	0.8246	0.7106	0.5694	0.418	0.2792	0.1472	0.0614	0.0164
8953897 [Cell Resp]	1	0.1488	0.0646	0.0282	0.0148	0.009	0.0034	0.002	0.0012	2e-04	6e-04
2262752 [Cell Resp]	1	0.0454	0.0036	4e-04	0	0	0	0	0	0	0
380287 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
193681 [Sig Transd]	1	0.0024	4e-04	4e-04	2e-04	2e-04	0	0	0	0	0
163765 [Metab]	1	0	0	0	0	0	0	0	0	0	0
390466 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
380108 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
75035 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
191273 [Metab]	1	0	0	0	0	0	0	0	0	0	0
6807047 [Metab]	1	0	0	0	0	0	0	0	0	0	0
6807062 [Metab]	1	0	0	0	0	0	0	0	0	0	0
6798163 [Metab]	1	0.05	0.0282	0.0208	0.0128	0.0092	0.0088	0.0048	0.0042	0.0044	0.003
2022870 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1793185 [Metab]	1	0	0	0	0	0	0	0	0	0	0
3247509 [Chr Org]	1	0	0	0	0	0	0	0	0	0	0
4839726 [Chr Org]	1	0	0	0	0	0	0	0	0	0	0
73886 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
8963888 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
8964026 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
8963901 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
5617833 [Org Biog]	1	0.0032	0.0012	2e-04	0	0	0	0	0	0	0
400253 [Circ Cl]	1	0	0	0	0	0	0	0	0	0	0
71403 [Metab]	1	0	0	0	0	0	0	0	0	0	0
373076 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
373080 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
420499 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
983169 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
9603798 [Prot Loc]	1	0	0	0	0	0	0	0	0	0	0
1296053 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
173623 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
8856828 [Ves-med Transp]	1	0	0	0	0	0	0	0	0	0	0
110331 [DNA Repair]	1	2e-04	0	0	0	0	0	0	0	0	0
110329 [DNA Repair]	1	2e-04	0	0	0	0	0	0	0	0	0
196741 [Metab]	1	0	0	0	0	0	0	0	0	0	0
196783 [Metab]	1	0	0	0	0	0	0	0	0	0	0
2470946 [Cell Cycl]	1	2e-04	0	0	0	0	0	0	0	0	0
1650814 [ECM Org]	1	0	0	0	0	0	0	0	0	0	0
8948216 [ECM Org]	1	0	0	0	0	0	0	0	0	0	0
1442490 [ECM Org]	1	0	0	0	0	0	0	0	0	0	0
1474290 [ECM Org]	1	0	0	0	0	0	0	0	0	0	0
140875 [Hemost]	1	0	0	0	0	0	0	0	0	0	0
8948700 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
166658 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
6799198 [Metab]	1	0	0	0	0	0	0	0	0	0	0
2514853 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
2299718 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
177135 [Metab]	1	2e-04	0	0	0	0	0	0	0	0	0
159424 [Metab]	1	2e-04	0	0	0	0	0	0	0	0	0
177162 [Metab]	1	0	0	0	0	0	0	0	0	0	0
177128 [Metab]	1	6e-04	0	0	0	0	0	0	0	0	0
5674400 [Disease]	1	2e-04	0	0	0	0	0	0	0	0	0
2219530 [Disease]	1	0	0	0	0	0	0	0	0	0	0
5637810 [Disease]	1	2e-04	0	0	0	0	0	0	0	0	0
1236382 [Disease]	1	4e-04	0	0	0	0	0	0	0	0	0
2691232 [Disease]	1	0	0	0	0	0	0	0	0	0	0
2894862 [Disease]	1	0	0	0	0	0	0	0	0	0	0
2644606 [Disease]	1	0	0	0	0	0	0	0	0	0	0
2660826 [Disease]	1	0	0	0	0	0	0	0	0	0	0
176407 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
6814122 [Metab Prot]	1	2e-04	0	0	0	0	0	0	0	0	0
389958 [Metab Prot]	1	0.8018	0.5068	0.3146	0.2024	0.1162	0.0708	0.0342	0.0128	0.0028	6e-04
388841 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
71288 [Metab]	1	0	0	0	0	0	0	0	0	0	0
166786 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
8949613 [Org Biog]	1	0	0	0	0	0	0	0	0	0	0
1236973 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
1236978 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
2243919 [ECM Org]	1	0	0	0	0	0	0	0	0	0	0
69273 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
69656 [Cell Cycl]	1	0.0014	0	0	0	0	0	0	0	0	0
69231 [Cell Cycl]	1	0.0038	6e-04	0	0	0	0	0	0	0	0
69202 [Cell Cycl]	1	0.0016	0	0	0	0	0	0	0	0	0
1614603 [Metab]	1	0	0	0	0	0	0	0	0	0	0
211897 [Metab]	1	0.0014	2e-04	0	0	0	0	0	0	0	0
111461 [Prog Cell Death]	1	0.0084	0.0022	8e-04	2e-04	2e-04	2e-04	2e-04	0	0	0
