label	id	name	class	pathway_size	genes_found_n	genes_found_frac	genes_found	genes_not_found
198693 [Sig Transd]	R-HSA-198693	AKT phosphorylates targets in the nucleus	Sig Transd	10	10	1	AKT1|AKT2|AKT3|CREB1|FOXO1|FOXO3|FOXO4|FOXO6|NR4A1|RPS6KB2	
211163 [Dev Biol]	R-HSA-211163	AKT-mediated inactivation of FOXO1A	Dev Biol	4	4	1	AKT1|AKT2|AKT3|FOXO1	
112122 [DNA Repair]	R-HSA-112122	ALKBH2 mediated reversal of alkylation damage	DNA Repair	1	1	1	ALKBH2	
112126 [DNA Repair]	R-HSA-112126	ALKBH3 mediated reversal of alkylation damage	DNA Repair	4	4	1	ALKBH3|ASCC1|ASCC2|ASCC3	
4839748 [Disease]	R-HSA-4839748	AMER1 mutants destabilize the destruction complex	Disease	14	14	1	AMER1|APC|AXIN1|CSNK1A1|GSK3B|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E	
163680 [Metab]	R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	Metab	8	8	1	ADIPOQ|ADIPOR1|ADIPOR2|MLXIPL|PRKAA2|PRKAB2|PRKAG2|STK11	
5467333 [Disease]	R-HSA-5467333	APC truncation mutants are not K63 polyubiquitinated	Disease	1	1	1	APC	
5467337 [Disease]	R-HSA-5467337	APC truncation mutants have impaired AXIN binding	Disease	14	14	1	AMER1|APC|AXIN1|CSNK1A1|GSK3B|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E	
179409 [Cell Cycl]	R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	Cell Cycl	25	25	1	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|BUB1B|BUB3|CDC16|CDC20|CDC23|CDC26|CDC27|MAD2L1|NEK2|RPS27A|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	
174143 [Cell Cycl]	R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	Cell Cycl	86	85	0.988372093023256	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|AURKA|AURKB|BTRC|BUB1B|BUB3|CCNA1|CCNA2|CCNB1|CDC14A|CDC16|CDC20|CDC23|CDC26|CDC27|CDK1|CDK2|CUL1|FBXO5|FZR1|MAD2L1|NEK2|PLK1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTTG1|RPS27A|SEM1|SKP1|SKP2|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	PSMB11
174048 [Cell Cycl]	R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	Cell Cycl	23	23	1	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|CCNB1|CDC16|CDC20|CDC23|CDC26|CDC27|CDK1|RPS27A|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	
174154 [Cell Cycl]	R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	Cell Cycl	67	66	0.985074626865672	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|CDC16|CDC20|CDC23|CDC26|CDC27|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTTG1|RPS27A|SEM1|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	PSMB11
176409 [Cell Cycl]	R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	Cell Cycl	75	74	0.986666666666667	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|BUB1B|BUB3|CCNA1|CCNA2|CCNB1|CDC16|CDC20|CDC23|CDC26|CDC27|CDK1|MAD2L1|NEK2|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTTG1|RPS27A|SEM1|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	PSMB11
174178 [Cell Cycl]	R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	Cell Cycl	72	71	0.986111111111111	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|AURKA|AURKB|CDC16|CDC20|CDC23|CDC26|CDC27|FZR1|PLK1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTTG1|RPS27A|SEM1|SKP2|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	PSMB11
179419 [Cell Cycl]	R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	Cell Cycl	73	72	0.986301369863014	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|BUB1B|BUB3|CCNA1|CCNA2|CDC16|CDC20|CDC23|CDC26|CDC27|CDK1|MAD2L1|NEK2|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RPS27A|SEM1|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	PSMB11
5649702 [DNA Repair]	R-HSA-5649702	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	DNA Repair	7	7	1	LIG3|NEIL1|NEIL2|OGG1|PNKP|POLB|XRCC1	
180689 [Disease]	R-HSA-180689	APOBEC3G mediated resistance to HIV-1 infection	Disease	11	5	0.454545454545455	APOBEC3G|BANF1|HMGA1|PPIA|PSIP1	gag|gag-pol|rev|vif|vpr|vpu
5624958 [Org Biog]	R-HSA-5624958	ARL13B-mediated ciliary trafficking of INPP5E	Org Biog	3	3	1	ARL13B|INPP5E|PDE6D	
170984 [Sig Transd]	R-HSA-170984	ARMS-mediated activation	Sig Transd	7	7	1	BRAF|CRK|KIDINS220|NGF|NTRK1|RAP1A|YWHAB	
380994 [Metab Prot]	R-HSA-380994	ATF4 activates genes in response to endoplasmic reticulum  stress	Metab Prot	26	25	0.961538461538462	ASNS|ATF3|ATF4|ATF6|CCL2|CXCL8|DCP2|DDIT3|DIS3|EXOSC1|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6|EXOSC7|EXOSC8|EXOSC9|HERPUD1|IGFBP1|KHSRP|NFYA|NFYB|NFYC|PARN	IL8
381183 [Metab Prot]	R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes	Metab Prot	10	10	1	ATF4|ATF6|CALR|DDIT3|HSP90B1|HSPA5|NFYA|NFYB|NFYC|XBP1	
381033 [Metab Prot]	R-HSA-381033	ATF6 (ATF6-alpha) activates chaperones	Metab Prot	12	12	1	ATF4|ATF6|CALR|DDIT3|HSP90B1|HSPA5|MBTPS1|MBTPS2|NFYA|NFYB|NFYC|XBP1	
1296025 [Neur Sys]	R-HSA-1296025	ATP sensitive Potassium channels	Neur Sys	4	4	1	ABCC8|ABCC9|KCNJ11|KCNJ8	
450408 [Metab RNA]	R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	Metab RNA	55	54	0.981818181818182	EIF4G1|HNRNPD|HSPA1A|HSPA8|HSPB1|PABPC1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RPS27A|SEM1|UBA52|UBB|UBC	PSMB11
8854518 [Cell Cycl]	R-HSA-8854518	AURKA Activation by TPX2	Cell Cycl	72	72	1	ACTR1A|AKAP9|ALMS1|AURKA|CCP110|CDK1|CDK5RAP2|CENPJ|CEP131|CEP135|CEP152|CEP164|CEP192|CEP250|CEP290|CEP41|CEP57|CEP63|CEP70|CEP72|CEP76|CEP78|CETN2|CKAP5|CLASP1|CNTRL|CSNK1D|CSNK1E|DCTN1|DCTN2|DCTN3|DYNC1H1|DYNC1I2|DYNLL1|FGFR1OP|HAUS1|HAUS2|HAUS3|HAUS4|HAUS5|HAUS6|HAUS7|HAUS8|HMMR|HSP90AA1|MAPRE1|NDE1|NEDD1|NEK2|NINL|ODF2|OFD1|PAFAH1B1|PCM1|PCNT|PLK1|PLK4|PPP2R1A|PRKACA|PRKAR2B|SDCCAG8|SFI1|SSNA1|TPX2|TUBA1A|TUBA4A|TUBB|TUBB4A|TUBB4B|TUBG1|YWHAE|YWHAG	
5467340 [Disease]	R-HSA-5467340	AXIN missense mutants destabilize the destruction complex	Disease	14	14	1	AMER1|APC|AXIN1|CSNK1A1|GSK3B|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E	
4839735 [Disease]	R-HSA-4839735	AXIN mutants destabilize the destruction complex, activating WNT signaling	Disease	14	14	1	AMER1|APC|AXIN1|CSNK1A1|GSK3B|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E	
2161541 [Metab]	R-HSA-2161541	Abacavir metabolism	Metab	5	5	1	ADAL|ADH1A|GUK1|NT5C2|PCK1	
2161517 [Metab]	R-HSA-2161517	Abacavir transmembrane transport	Metab	5	5	1	ABCB1|ABCG2|SLC22A1|SLC22A2|SLC22A3	
2161522 [Metab]	R-HSA-2161522	Abacavir transport and metabolism	Metab	10	10	1	ABCB1|ABCG2|ADAL|ADH1A|GUK1|NT5C2|PCK1|SLC22A1|SLC22A2|SLC22A3	
73930 [DNA Repair]	R-HSA-73930	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	DNA Repair	2	2	1	APEX1|POLB	
2978092 [Disease]	R-HSA-2978092	Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	Disease	1	1	1	IDH1	
167242 [Disease]	R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	Disease	23	23	1	CTDP1|GTF2F1|GTF2F2|NCBP1|NCBP2|NELFA|NELFB|NELFCD|NELFE|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|SUPT4H1|SUPT5H	
156582 [Metab]	R-HSA-156582	Acetylation	Metab	2	2	1	NAT1|NAT2	
264642 [Neur Sys]	R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	Neur Sys	17	14	0.823529411764706	CPLX1|PPFIA1|PPFIA2|PPFIA3|PPFIA4|RAB3A|RIMS1|SNAP25|STX1A|STXBP1|SYT1|TSPOAP1|UNC13B|VAMP2	CHAT|SLC18A3|SLC5A7
181431 [Neur Sys]	R-HSA-181431	Acetylcholine binding and downstream events	Neur Sys	14	13	0.928571428571429	CHRNA1|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB4|CHRND|CHRNE|CHRNG	CHRNB3
399997 [Metab]	R-HSA-399997	Acetylcholine regulates insulin secretion	Metab	10	10	1	CHRM3|GNA11|GNA14|GNA15|GNAQ|MARCKS|PLCB1|PLCB2|PLCB3|PRKCA	
1300645 [Reprod]	R-HSA-1300645	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Reprod	6	4	0.666666666666667	ACR|CD9|IZUMO1|IZUMO4	IZUMO2|IZUMO3
2122948 [Sig Transd]	R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	Sig Transd	31	31	1	ADAM10|ADAM17|APH1A|APH1B|ARRB1|ARRB2|CNTN1|DLK1|DLL1|DLL4|DNER|DTX1|DTX2|DTX4|ITCH|JAG1|JAG2|MIB1|MIB2|NCSTN|NEURL1|NEURL1B|NOTCH1|NUMB|PSEN1|PSEN2|PSENEN|RPS27A|UBA52|UBB|UBC	
9032845 [Sig Transd]	R-HSA-9032845	Activated NTRK2 signals through CDK5	Sig Transd	6	6	1	BDNF|CDK5|CDK5R1|NTRK2|RAC1|TIAM1	
9028731 [Sig Transd]	R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	Sig Transd	11	11	1	BDNF|FRS2|FRS3|GRB2|HRAS|KRAS|NRAS|NTF4|NTRK2|PTPN11|SOS1	
9032500 [Sig Transd]	R-HSA-9032500	Activated NTRK2 signals through FYN	Sig Transd	7	7	1	BDNF|DOCK3|FYN|GRIN2B|NTRK2|RAC1|SRC	
9028335 [Sig Transd]	R-HSA-9028335	Activated NTRK2 signals through PI3K	Sig Transd	7	7	1	BDNF|GAB1|GRB2|NTF4|NTRK2|PIK3CA|PIK3R1	
9026527 [Sig Transd]	R-HSA-9026527	Activated NTRK2 signals through PLCG1	Sig Transd	4	4	1	BDNF|NTF4|NTRK2|PLCG1	
9026519 [Sig Transd]	R-HSA-9026519	Activated NTRK2 signals through RAS	Sig Transd	9	9	1	BDNF|GRB2|HRAS|KRAS|NRAS|NTF4|NTRK2|SHC1|SOS1	
9603381 [Sig Transd]	R-HSA-9603381	Activated NTRK3 signals through PI3K	Sig Transd	6	6	1	IRS1|NTF3|NTRK3|PIK3CA|PIK3R1|SRC	
9034793 [Sig Transd]	R-HSA-9034793	Activated NTRK3 signals through PLCG1	Sig Transd	3	3	1	NTF3|NTRK3|PLCG1	
9034864 [Sig Transd]	R-HSA-9034864	Activated NTRK3 signals through RAS	Sig Transd	8	8	1	GRB2|HRAS|KRAS|NRAS|NTF3|NTRK3|SHC1|SOS1	
5625886 [Sig Transd]	R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Sig Transd	36	35	0.972222222222222	AR|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|KDM1A|KDM4C|KLK2|NCOA2|PKN1	KLK3
2033519 [Disease]	R-HSA-2033519	Activated point mutants of FGFR2	Disease	17	14	0.823529411764706	FGF1|FGF10|FGF17|FGF18|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR2	FGF16|FGF3|FGF6
111452 [Prog Cell Death]	R-HSA-111452	Activation and oligomerization of BAK protein	Prog Cell Death	2	2	1	BAK1|BID	
165158 [Sig Transd]	R-HSA-165158	Activation of AKT2	Sig Transd	4	4	1	AKT2|PDPK1|THEM4|TRIB3	
399710 [Neur Sys]	R-HSA-399710	Activation of AMPA receptors	Neur Sys	4	4	1	GRIA1|GRIA2|GRIA3|GRIA4	
9619483 [Neur Sys]	R-HSA-9619483	Activation of AMPK downstream of NMDARs	Neur Sys	10	10	1	CALM1|CAMKK2|MAPT|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3	
176814 [Cell Cycl]	R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cell Cycl	76	75	0.986842105263158	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|BUB1B|BUB3|CCNA1|CCNA2|CCNB1|CDC16|CDC20|CDC23|CDC26|CDC27|CDK1|MAD2L1|NEK2|PLK1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTTG1|RPS27A|SEM1|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	PSMB11
176187 [Cell Cycl]	R-HSA-176187	Activation of ATR in response to replication stress	Cell Cycl	37	37	1	ATR|ATRIP|CDC25A|CDC25C|CDC45|CDC6|CDC7|CDK2|CHEK1|CLSPN|DBF4|HUS1|MCM10|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|MCM8|ORC1|ORC2|ORC3|ORC4|ORC5|ORC6|RAD1|RAD17|RAD9A|RAD9B|RFC2|RFC3|RFC4|RFC5|RPA1|RPA2|RPA3	
111447 [Prog Cell Death]	R-HSA-111447	Activation of BAD and translocation to mitochondria	Prog Cell Death	15	15	1	AKT1|AKT2|AKT3|BAD|BCL2|BID|PPP3CC|PPP3R1|SFN|YWHAB|YWHAE|YWHAG|YWHAH|YWHAQ|YWHAZ	
114452 [Prog Cell Death]	R-HSA-114452	Activation of BH3-only proteins	Prog Cell Death	30	30	1	AKT1|AKT2|AKT3|BAD|BBC3|BCL2|BCL2L11|BID|BMF|DYNLL1|DYNLL2|E2F1|MAPK8|PMAIP1|PPP1R13B|PPP3CC|PPP3R1|SFN|TFDP1|TFDP2|TP53|TP53BP2|TP63|TP73|YWHAB|YWHAE|YWHAG|YWHAH|YWHAQ|YWHAZ	
111446 [Prog Cell Death]	R-HSA-111446	Activation of BIM and translocation to mitochondria	Prog Cell Death	3	3	1	BCL2L11|DYNLL1|MAPK8	
139910 [Prog Cell Death]	R-HSA-139910	Activation of BMF and translocation to mitochondria	Prog Cell Death	3	3	1	BMF|DYNLL2|MAPK8	
174577 [Imm Sys]	R-HSA-174577	Activation of C3 and C5	Imm Sys	6	6	1	C2|C3|C4A|C4B|C5|CFB	
451308 [Neur Sys]	R-HSA-451308	Activation of Ca-permeable Kainate Receptor	Neur Sys	10	10	1	CALM1|DLG1|DLG3|DLG4|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|NCALD	
1296041 [Neur Sys]	R-HSA-1296041	Activation of G protein gated Potassium channels	Neur Sys	25	24	0.96	GABBR1|GABBR2|GNB1|GNB2|GNB3|GNG10|GNG12|GNG2|GNG3|GNG4|GNG5|GNG7|GNGT1|GNGT2|KCNJ10|KCNJ12|KCNJ15|KCNJ16|KCNJ2|KCNJ3|KCNJ4|KCNJ5|KCNJ6|KCNJ9	GNG8
991365 [Neur Sys]	R-HSA-991365	Activation of GABAB receptors	Neur Sys	39	37	0.948717948717949	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|GABBR1|GABBR2|GNAI1|GNAI2|GNAI3|GNAL|GNB1|GNB2|GNB3|GNG10|GNG12|GNG2|GNG3|GNG4|GNG5|GNG7|GNGT1|GNGT2|KCNJ10|KCNJ12|KCNJ15|KCNJ16|KCNJ2|KCNJ3|KCNJ4|KCNJ5|KCNJ6|KCNJ9	GNAT3|GNG8
5619507 [Dev Biol]	R-HSA-5619507	Activation of HOX genes during differentiation	Dev Biol	91	89	0.978021978021978	AJUBA|ASH2L|CNOT6|CREBBP|CTCF|EED|EGR2|EP300|EZH2|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HDAC3|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|HOXA1|HOXA2|HOXA3|HOXA4|HOXB2|HOXB3|HOXB4|HOXC4|HOXD1|HOXD3|HOXD4|JUN|KDM6A|KMT2C|KMT2D|MAFB|MEIS1|NCOA3|NCOA6|NCOR1|PAGR1|PAX6|PAXIP1|PBX1|PCGF2|PIAS2|PKNOX1|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|RARA|RARB|RARG|RBBP4|RBBP5|RBBP7|RXRA|SUZ12|WDR5|YY1|ZNF335	HOXB1|RQCD1
936964 [Imm Sys]	R-HSA-936964	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	Imm Sys	17	17	1	CD14|IKBKE|IRF3|IRF7|LY96|PTPN11|RPS27A|SARM1|TANK|TBK1|TICAM1|TICAM2|TLR4|TRAF3|UBA52|UBB|UBC	
