gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
SFT2D2	442995	299	18	85839	23430	0	11	1	0	23	33	1534523	8.553620e-07	6.453536e-04
TRIM67	381758	603	8	389009	120061	0	26	7	0	12	20	934999	1.152598e-06	8.174191e-04
PRKRA	159623	482	29	169619	43381	0	12	0	0	50	75	4774821	1.190303e-06	8.174191e-04
TP53	2069567	213	34	219319	60563	0	31	3	0	3	3	184174	1.213431e-06	8.174191e-04
AHCYL1	660515	373	29	279598	73343	0	14	0	0	27	20	2263125	2.083902e-06	1.355399e-03
FAM49B	272194	242	6	172814	43381	0	10	1	0	50	48	4548686	2.561692e-06	1.610621e-03
FOXO3	346225	428	34	329582	102808	0	17	0	0	2	0	256026	2.787501e-06	1.696059e-03
SLC30A8	496501	456	8	191629	52469	0	16	0	0	22	23	2081507	2.952282e-06	1.740186e-03
ARHGAP10	75227	678	22	416344	105293	0	15	2	0	50	63	4228973	3.561934e-06	2.035915e-03
GTF2IRD2B	774871	220	56	490681	129149	0	77	0	0	0	0	129149	4.404344e-06	2.443375e-03
ZDHHC11	843639	408	28	215272	58859	0	24	1	0	50	78	5101705	4.959992e-06	2.673010e-03
ALB	315782	613	8	321843	80301	0	15	1	0	50	72	4517375	5.319177e-06	2.786953e-03
MFSD1	181588	972	2	269232	73059	0	24	0	0	22	31	1970889	5.893185e-06	3.004250e-03
TM9SF3	790373	642	24	309560	79378	0	14	0	0	35	63	3797506	6.494081e-06	3.223457e-03
ANKIB1	708388	452	30	565515	147183	0	27	1	0	8	6	890979	7.417217e-06	3.587271e-03
TTC14	182757	1031	2	405978	102027	0	14	1	0	50	46	3900669	7.902364e-06	3.726360e-03
RB1	349930	450	41	490468	125315	0	20	2	0	38	66	3275585	1.366470e-05	6.286427e-03
SPATA7	140042	800	-13	313323	79875	0	29	3	0	2	18	812808	1.569348e-05	7.047866e-03
UQCRFS1	158775	892	-73	133480	43097	0	20	1	0	50	81	4201212	1.677258e-05	7.357311e-03
NDUFB3	644877	205	39	52540	12425	0	5	0	0	50	87	4590647	3.200481e-05	1.371988e-02
TMX3	70753	920	-24	245092	58433	0	15	1	0	17	30	1299513	5.079931e-05	2.126185e-02
KCNJ8	501891	984	-9	211509	61770	0	23	1	0	12	12	874933	5.185268e-05	2.126185e-02
COL11A1	37620	742	-20	956086	288260	0	30	7	0	23	18	1912030	6.246896e-05	2.506999e-02
GSTT2	699286	202	63	247364	73840	0	15	0	0	3	4	200433	6.864451e-05	2.692132e-02
COL9A1	126322	633	5	485711	150733	0	20	0	0	16	12	1217721	6.993663e-05	2.692132e-02
VPS13A	186200	696	-2	1686960	428769	0	45	4	0	14	15	1312151	8.424478e-05	3.178050e-02
EVC2	69455	688	19	666193	188576	0	32	2	0	13	14	1477652	9.678562e-05	3.579550e-02
SUZ12	717248	310	27	387589	98051	0	12	1	0	50	88	5451167	1.082196e-04	3.890194e-02
TTC8	162049	703	-6	272285	69793	0	12	1	0	50	66	4434731	1.093099e-04	3.890194e-02
MDFI	486789	331	52	124818	37275	0	9	1	0	50	57	3682557	1.245054e-04	4.296309e-02
CTNNB1	305811	448	8	397316	115162	0	27	0	0	20	16	1489012	1.252767e-04	4.296309e-02
CHCHD3	595524	677	11	120913	30743	0	8	0	0	50	42	4325320	1.297019e-04	4.297883e-02
PCSK5	96278	886	-24	480812	120700	0	25	4	0	42	63	3271680	1.298798e-04	4.297883e-02
GPRIN2	NaN	NaN	NaN	219177	74976	0	12	3	0	30	59	3198124	1.548674e-04	5.036395e-02
CLDN16	163494	373	9	154070	44872	0	16	1	0	38	56	2689693	1.626295e-04	5.143323e-02
DTL	452008	399	15	376016	103021	0	12	0	0	8	2	603500	1.650766e-04	5.143323e-02
DCAF17	514096	271	38	272285	72136	0	12	1	0	22	16	1915154	1.663359e-04	5.143323e-02
CSNK2A1	671817	229	40	207320	52540	0	12	0	0	18	30	1940572	1.953214e-04	5.942180e-02
CAPS2	110847	692	-32	299549	71497	0	11	2	0	50	94	4785116	2.088640e-04	6.253321e-02
NDST2	1009357	191	42	440910	134190	0	27	2	0	28	54	3211117	2.268416e-04	6.685448e-02
C4orf50	109875	686	16	139657	42884	0	10	1	0	50	76	3730837	2.607374e-04	7.566197e-02
ETFA	307633	186	35	173737	49487	0	11	1	0	50	66	3175191	2.684475e-04	7.670915e-02
ERCC6	NaN	NaN	NaN	764670	207036	0	37	6	0	50	164	8113880	2.724798e-04	7.670915e-02
SPTA1	177547	940	1	1270119	319713	0	41	9	0	42	55	3724518	2.923775e-04	8.110036e-02
FRG2B	50016	525	-16	141574	39476	0	6	0	0	50	82	4759769	3.068036e-04	8.386854e-02
DCDC1	84163	938	-25	183677	49132	0	19	1	0	30	76	3424472	3.300793e-04	8.894223e-02
CDK8	96507	578	22	246654	61131	0	9	0	0	45	54	3727997	3.557625e-04	9.218062e-02
AGXT2	243997	675	23	267670	72491	0	13	1	0	50	59	4302813	3.608558e-04	9.218062e-02
ANTXR1	338803	288	14	305442	85626	0	12	0	0	50	54	4092724	3.613890e-04	9.218062e-02
MARCH1	56946	1136	-17	168341	45298	0	10	1	0	42	45	3235257	3.616459e-04	9.218062e-02
CRISP2	67596	1248	-6	130285	31595	0	9	0	0	50	60	3488372	4.118188e-04	1.035697e-01
CSNK1A1	607110	152	32	195179	47215	0	14	1	0	50	62	4005323	4.249434e-04	1.054642e-01
PLRG1	59883	1034	20	270439	71000	0	10	0	0	27	23	2292022	4.494082e-04	1.100875e-01
C1orf123	527317	391	27	88466	20803	0	6	0	0	50	74	4235860	4.771820e-04	1.153924e-01
KPNA1	413070	404	34	281231	74266	0	11	2	0	50	56	3490076	4.842438e-04	1.156178e-01
CCL20	161901	296	7	52185	12780	0	5	0	0	50	55	3712803	4.914415e-04	1.158696e-01
NBAS	186706	1405	10	1228868	330718	0	30	5	0	24	20	2131278	5.012271e-04	1.167178e-01
CPS1	158852	465	-1	780432	215343	0	23	6	0	44	56	3726790	5.099219e-04	1.172945e-01
HS6ST1	406221	635	24	202492	62054	0	10	1	0	50	76	4152080	5.330790e-04	1.211438e-01
WSB1	147758	292	-21	218396	58078	0	10	1	0	37	40	3332385	5.425310e-04	1.218240e-01
ANXA13	492587	192	12	189144	49416	0	15	0	0	50	69	4667611	5.644563e-04	1.250147e-01
LBR	660503	319	0	318577	86123	0	12	0	0	17	22	1701444	5.699959e-04	1.250147e-01
RNF130	1665304	424	17	213994	61202	0	13	2	0	50	97	4977668	5.862109e-04	1.256670e-01
MS4A10	744779	621	23	137811	39405	0	8	1	0	49	81	4388865	5.862949e-04	1.256670e-01
CD3EAP	1259254	191	39	250204	78455	0	11	0	0	6	7	421172	5.993982e-04	1.270320e-01
SEC61G	277856	325	-11	37843	8804	0	5	0	0	50	66	3669706	6.071728e-04	1.272499e-01
STARD6	99256	451	41	116156	29110	0	8	0	0	50	81	5212891	6.293159e-04	1.300294e-01
ARID3B	655453	206	59	280734	84561	0	9	0	0	12	11	941673	6.342224e-04	1.300294e-01
MTR	407246	773	-13	661578	174660	0	35	6	0	46	77	3463735	6.543521e-04	1.327139e-01
ZRANB3	542328	676	16	562675	144485	0	20	0	0	32	21	2707869	6.765300e-04	1.350709e-01
CEP170	180288	1024	0	811530	223863	0	34	3	0	48	46	3449961	6.813836e-04	1.350709e-01
SCAPER	393531	675	22	738045	190848	0	15	2	0	7	6	1374276	6.874567e-04	1.350709e-01
PACRGL	42454	1252	22	115304	32518	0	6	0	0	50	56	4160458	7.414012e-04	1.441681e-01
HGD	312906	391	5	236288	59782	0	12	0	0	49	41	4132555	7.585903e-04	1.460054e-01
PDK4	195488	393	-3	214562	57226	0	10	1	0	22	29	1899179	7.903425e-04	1.484502e-01
SBF2	530606	482	12	958855	256523	0	31	6	0	21	22	1614753	7.971382e-04	1.484502e-01
PEX5L	307645	761	5	325464	87117	0	11	1	0	23	18	2536901	8.006833e-04	1.484502e-01
SFTPA2	478276	NaN	11	125031	37488	0	11	1	0	31	56	3199899	8.027740e-04	1.484502e-01
SH2D1B	363646	391	1	69935	17608	0	5	0	0	26	29	2085696	8.160934e-04	1.494481e-01
OR2T11	116628	850	-20	154425	48138	0	17	3	0	17	22	1072384	8.363065e-04	1.516770e-01
PCMT1	424800	234	40	147609	41535	0	7	0	0	50	63	3708756	8.464339e-04	1.520518e-01
REPS1	310511	613	16	409599	115872	0	11	0	0	14	14	2041676	8.835616e-04	1.572240e-01
TASP1	121103	796	-26	219674	60421	0	8	1	0	39	53	3439879	9.268523e-04	1.633859e-01
C2orf80	321897	440	5	104157	26625	0	7	0	0	41	46	2992153	1.082357e-03	1.886308e-01
TSPAN13	360860	385	-12	104654	30601	0	9	0	0	50	68	4234014	1.090062e-03	1.886308e-01
RAB3B	701660	353	22	113103	30459	0	6	0	0	50	83	5123928	1.112609e-03	1.907822e-01
STARD3NL	161770	578	11	124534	32447	0	5	1	0	50	64	3949304	1.154539e-03	1.946095e-01
PDS5A	606929	175	42	706663	182186	0	23	1	0	10	15	1270403	1.164585e-03	1.946095e-01
SENP1	457498	255	30	340090	85910	0	12	2	0	50	69	3643649	1.165882e-03	1.946095e-01
SPINK1	137041	470	2	43168	10934	0	4	0	0	50	69	3603463	1.184540e-03	1.959895e-01
FBXO9	450160	386	26	238560	58575	0	11	1	0	50	79	3895344	1.202012e-03	1.971509e-01
TTC21A	213514	500	30	688700	179914	0	21	3	0	50	45	4208099	1.328950e-03	2.160919e-01
FAM160A2	466636	728	4	476907	162306	0	18	4	0	24	18	1688096	1.342846e-03	2.164852e-01
COL1A2	461036	499	-14	685150	231815	0	25	6	0	50	91	4639779	1.359389e-03	2.168860e-01
SRGAP1	320926	460	-13	565941	146331	0	19	3	0	23	30	1754765	1.376240e-03	2.168860e-01
TMC1	395593	486	10	405126	98193	0	16	2	0	50	63	3972450	1.379828e-03	2.168860e-01
CDK20	207783	628	5	192410	43594	0	10	1	0	18	12	1166885	1.398586e-03	2.177193e-01
ARPC5	608114	407	24	77887	21797	0	4	0	0	50	70	4730162	1.408215e-03	2.177193e-01
KIF23	307077	298	19	504313	128510	0	14	2	0	22	25	2270083	1.465089e-03	2.246708e-01
KCNT2	37679	1035	-24	596329	153005	0	25	3	0	4	6	423089	1.495071e-03	2.259613e-01
SGPL1	424452	579	30	296496	79023	0	18	3	0	26	39	1853597	1.497464e-03	2.259613e-01
DCP2	274112	439	25	224715	52824	0	14	2	0	30	47	2100606	1.549432e-03	2.319475e-01
RAPGEF4	397338	345	16	536050	139160	0	13	2	0	50	53	4387942	1.582834e-03	2.350820e-01
KLF7	207002	598	20	152153	44020	0	8	0	0	50	52	3592813	1.609040e-03	2.371071e-01
PAPOLG	370439	436	18	385388	103447	0	12	1	0	50	80	5021404	1.638521e-03	2.395797e-01
DENND2C	626568	394	8	453548	117292	0	16	1	0	47	35	3642939	1.721864e-03	2.464258e-01
CNBD1	148474	1191	-31	233377	55238	0	16	2	0	50	87	4153216	1.723406e-03	2.464258e-01
ADAP1	737267	310	41	196386	51759	0	11	0	0	50	60	4297701	1.724537e-03	2.464258e-01
FAM126A	1063802	413	26	269161	72917	0	14	0	0	14	24	1545457	1.748865e-03	2.478716e-01
FTO	215906	604	-13	261848	68302	0	8	3	0	33	47	2523695	1.760937e-03	2.478716e-01
MED30	139000	574	0	91874	25063	0	13	1	0	2	9	350243	1.789315e-03	2.500004e-01
GCG	95439	554	7	96773	23146	0	5	0	0	50	65	4031451	1.845530e-03	2.559587e-01
BUB1B	876373	161	42	549753	141006	0	19	2	0	22	31	2433454	1.888860e-03	2.600561e-01
COX7A2	394127	423	-3	60137	16969	0	4	0	0	39	42	3189178	1.921140e-03	2.625837e-01
ANTXR2	62176	905	6	261209	73840	0	12	0	0	22	26	1896765	1.971801e-03	2.675691e-01
C8orf37	313002	375	45	110831	26767	0	8	0	0	50	42	3690083	2.026321e-03	2.714951e-01
MPP2	1025836	241	19	279953	83638	0	16	0	0	21	18	1764705	2.033049e-03	2.714951e-01
CCDC39	182757	1031	2	501828	116298	0	16	0	0	42	37	2958712	2.043914e-03	2.714951e-01
PTPRQ	NaN	NaN	NaN	1102133	292591	0	31	6	0	27	45	2822960	2.149703e-03	2.835503e-01
F8	1741051	NaN	4	1211686	318080	0	70	8	0	29	66	2765095	2.176657e-03	2.851118e-01
KDM5B	463071	378	35	794774	214633	0	34	3	0	28	26	1916361	2.209760e-03	2.874517e-01
WAC	204806	355	17	333061	92513	0	20	3	0	15	20	1046114	2.296495e-03	2.961156e-01
SLC25A38	160739	595	32	153360	46647	0	8	1	0	49	68	4083849	2.309264e-03	2.961156e-01
RBM18	319049	597	19	99613	26696	0	7	0	0	42	40	4317297	2.325646e-03	2.961156e-01
CROT	222199	876	3	337889	86194	0	16	3	0	48	66	4076394	2.339159e-03	2.961156e-01
ZNF704	143727	501	1	211722	59001	0	15	1	0	50	53	3610421	2.382496e-03	2.995909e-01
CDC6	1480458	191	23	288331	79520	0	14	2	0	50	80	3663245	2.487378e-03	3.107081e-01
SLC26A3	511053	515	19	393979	111896	0	14	0	0	3	0	383258	2.649114e-03	3.287341e-01
KLF10	528975	178	42	240832	70148	0	12	0	0	39	47	2644324	2.778623e-03	3.425515e-01
OR13C2	147494	920	-31	158330	45298	0	9	1	0	50	63	3992188	2.809257e-03	3.436076e-01
TXNDC2	431025	168	34	278959	77177	0	14	1	0	26	38	2191486	2.823623e-03	3.436076e-01
SLC26A4	515284	579	37	400582	115517	0	23	4	0	50	117	4685290	2.909245e-03	3.500735e-01
ALDOB	112947	898	-22	187085	52966	0	10	0	0	21	28	1603393	2.913876e-03	3.500735e-01
WBP2NL	1328069	323	66	153715	49061	0	13	1	0	50	83	3205011	2.983456e-03	3.561642e-01
GPR141	103891	630	6	152508	43026	0	11	0	0	16	23	1343533	3.166354e-03	3.743872e-01
R3HDM1	561193	558	20	569420	153928	0	17	0	0	12	6	1047747	3.175801e-03	3.743872e-01
GSTA2	539666	498	11	118215	29394	0	7	0	0	47	58	4088748	3.250967e-03	3.806084e-01
TPD52	211901	353	43	133267	35642	0	8	0	0	50	46	3726790	3.268930e-03	3.806084e-01
SP1	1707021	145	57	387944	118996	0	13	2	0	20	30	2042031	3.320892e-03	3.842863e-01
NAA35	320125	381	21	391352	91306	0	13	1	0	36	42	3345733	3.393298e-03	3.902707e-01
LAPTM4B	609859	175	39	159182	49132	0	8	0	0	50	69	4173451	3.436667e-03	3.928632e-01
CLEC2A	NaN	NaN	NaN	94359	21300	0	6	0	0	50	158	7928144	3.489625e-03	3.950076e-01
AAGAB	312039	320	45	166637	42955	0	6	0	0	50	60	4453759	3.542057e-03	3.950076e-01
ZMPSTE24	627703	373	18	246796	65036	0	10	3	0	16	12	997763	3.565121e-03	3.950076e-01
TGOLN2	975949	211	18	218467	63971	0	14	3	0	38	54	2615356	3.603014e-03	3.950076e-01
ATG10	156562	717	25	118144	29039	0	5	1	0	50	168	9162479	3.603987e-03	3.950076e-01
ATP8B4	278209	408	-21	625794	159537	0	18	2	0	14	19	1287301	3.616260e-03	3.950076e-01
MON2	299830	359	-1	880755	246015	0	21	2	0	39	50	3933258	3.632309e-03	3.950076e-01
NOVA1	15854	883	-41	252050	82147	0	10	1	0	14	7	1537434	3.657529e-03	3.950076e-01
SPAG9	1009546	138	-3	687493	181973	0	27	3	0	10	13	947708	3.670494e-03	3.950076e-01
BBS9	233203	759	-6	462636	123540	0	19	2	0	50	74	4414070	3.685060e-03	3.950076e-01
RC3H2	407115	430	26	620256	174660	0	17	2	0	19	24	1783165	3.703762e-03	3.950076e-01
PGAM2	1151124	282	56	128297	36565	0	10	0	0	50	108	4636229	3.706731e-03	3.950076e-01
OCRL	330789	NaN	22	477191	118783	0	15	3	0	23	31	2186303	3.741787e-03	3.965033e-01
EIF2B3	839426	185	24	241684	64610	0	9	0	0	15	14	1021548	3.878556e-03	4.087001e-01
CWC22	35642	927	7	480386	115801	0	14	3	0	26	34	2324966	3.926066e-03	4.114081e-01
ZNF585A	268806	1018	-60	368916	90525	0	16	1	0	50	38	3397279	4.037080e-03	4.207039e-01
HMBS	1390854	195	58	188221	54173	0	10	0	0	22	30	1851254	4.216720e-03	4.358448e-01
ACSM5	181483	823	6	295928	85768	0	13	0	0	12	17	853846	4.249471e-03	4.358448e-01
GOSR2	618151	366	28	140509	36494	0	6	0	0	50	48	4054952	4.251693e-03	4.358448e-01
DERL1	470881	412	33	131918	35074	0	8	1	0	50	81	4080796	4.277375e-03	4.361073e-01
HEXDC	2591323	179	28	292733	91945	0	13	0	0	5	2	767936	4.440415e-03	4.486959e-01
C1GALT1C1	388105	NaN	7	165075	40470	0	10	0	0	40	78	3228299	4.448422e-03	4.486959e-01
DNMT3B	675780	173	42	449359	122759	0	18	3	0	18	28	1572863	4.525295e-03	4.539645e-01
MGAT2	563227	409	-4	222088	64184	0	22	1	0	6	2	281231	4.548790e-03	4.539645e-01
CD177	345698	182	-48	221591	65533	0	8	4	0	11	25	1185487	4.576792e-03	4.543550e-01
SCYL3	181109	624	5	380702	105151	0	15	2	0	13	10	840569	4.626194e-03	4.568548e-01
HECTD2	288529	384	4	413291	105364	0	14	1	0	32	29	2858602	4.676833e-03	4.594501e-01
TUBA3D	455705	540	29	225496	66527	0	20	1	0	49	66	3505199	4.747951e-03	4.624810e-01
CES3	993495	135	41	292804	83354	0	12	1	0	30	47	3649187	4.793542e-03	4.624810e-01
ANXA1	247950	411	-15	184458	47499	0	7	1	0	50	56	3666156	4.804784e-03	4.624810e-01
PTK2	466681	356	35	567929	145408	0	17	3	0	50	53	3679007	4.805762e-03	4.624810e-01
GMPR	117199	561	26	177713	50197	0	14	1	0	50	60	4016328	4.924768e-03	4.704619e-01
CALCR	197869	823	-10	269800	67379	0	12	1	0	50	91	4576163	4.938578e-03	4.704619e-01
POMP	167695	629	37	76183	19241	0	5	0	0	50	49	3350135	5.085562e-03	4.820295e-01
TGFB2	75157	386	-18	228549	60492	0	10	0	0	50	49	3704567	5.117445e-03	4.824769e-01
SMG7	716427	385	25	649295	176932	0	14	3	0	49	85	5718482	5.141441e-03	4.824769e-01
BNIP1	483076	397	34	141148	37772	0	8	1	0	23	35	1861336	5.173155e-03	4.830498e-01
DHX15	194657	491	35	407966	111754	0	17	3	0	50	52	4142282	5.203833e-03	4.835206e-01
BCKDHB	131029	869	-9	203202	56871	0	18	1	0	18	46	2477829	5.276647e-03	4.878829e-01
CLDN12	140224	1085	-8	119209	38198	0	10	1	0	46	86	4082429	5.420591e-03	4.984735e-01
DCBLD2	337232	411	6	396819	111825	0	11	0	0	9	4	700912	5.463518e-03	4.984735e-01
ZNF549	459366	828	-31	322979	80017	0	12	0	0	32	16	2126947	5.470470e-03	4.984735e-01
TAOK3	635780	823	26	476694	113955	0	12	1	0	50	51	4356986	5.615496e-03	5.092283e-01
ZDHHC13	194027	625	11	327878	83851	0	11	0	0	33	44	2409314	5.682897e-03	5.104704e-01
COL6A5	202934	533	11	1299584	348397	0	30	3	0	16	17	1719691	5.683320e-03	5.104704e-01
FBXW11	380827	400	36	294011	77461	0	8	1	0	50	49	4442399	5.769663e-03	5.157696e-01
KIF3A	717412	356	59	368916	92016	0	15	1	0	50	60	3432140	5.986011e-03	5.302821e-01
CP	388273	312	10	558273	138237	0	16	2	0	50	59	4505873	5.992120e-03	5.302821e-01
SPRR1B	687290	704	30	46008	12354	0	5	0	0	50	80	4273774	6.016348e-03	5.302821e-01
UFC1	728669	234	37	88679	22933	0	5	0	0	50	78	4493022	6.055448e-03	5.312458e-01
CYP7B1	8894	1018	22	259079	69154	0	12	0	0	24	17	1706840	6.126749e-03	5.333544e-01
CDK17	248700	405	26	283858	72278	0	9	2	0	17	13	1099506	6.159913e-03	5.333544e-01
COL10A1	NaN	NaN	NaN	320068	116795	0	21	4	0	30	60	3239943	6.275976e-03	5.333544e-01
HEMK1	583785	302	50	174234	50481	0	9	1	0	50	68	3492206	6.288564e-03	5.333544e-01
MRRF	319049	597	19	138734	34435	0	6	0	0	42	40	4317297	6.289781e-03	5.333544e-01
TULP3	494496	336	35	262984	71426	0	12	0	0	20	22	1669707	6.317961e-03	5.333544e-01
AKAP9	674222	611	16	2045865	493095	0	35	6	0	9	14	1158081	6.320117e-03	5.333544e-01
IQCE	777967	226	44	359686	102950	0	19	2	0	33	61	3503424	6.347304e-03	5.333544e-01
RGS9	391807	516	-16	363094	94856	0	21	2	0	50	95	5176752	6.351999e-03	5.333544e-01
TMPRSS15	274061	981	-64	536405	136249	0	16	1	0	21	9	1592175	6.362249e-03	5.333544e-01
TMEM212	NaN	NaN	NaN	98335	30104	0	5	0	0	50	158	7936948	6.462346e-03	5.364776e-01
PLD5	75320	854	-18	234087	57936	0	12	0	0	49	61	4140933	6.478970e-03	5.364776e-01
PDLIM2	757216	224	45	200930	58291	0	11	1	0	50	76	4363518	6.525455e-03	5.364776e-01
MTMR2	285979	390	-1	333700	89744	0	18	3	0	11	11	945507	6.584538e-03	5.364776e-01
PTPRC	100900	412	0	691824	171252	0	22	3	0	50	76	4437358	6.596350e-03	5.364776e-01
FGF12	34070	937	0	128084	34435	0	7	1	0	50	57	4388652	6.609705e-03	5.364776e-01
ZDHHC17	181943	605	-12	335688	82431	0	11	2	0	23	25	1819233	6.673986e-03	5.364776e-01
C5orf51	113456	795	23	153928	38837	0	6	0	0	14	15	1058113	6.675198e-03	5.364776e-01
RNGTT	202476	672	37	317015	77887	0	9	1	0	45	63	4050763	6.682179e-03	5.364776e-01
SCFD1	386053	583	2	346196	85555	0	11	1	0	50	66	4464054	6.683927e-03	5.364776e-01
BTBD16	218081	303	-3	268593	68586	0	8	0	0	17	11	1461393	6.719410e-03	5.370403e-01
NRK	18768	NaN	2	814299	221094	0	21	3	0	50	46	3964427	6.862814e-03	5.461873e-01
FERMT1	302334	351	-16	354787	90383	0	15	2	0	50	64	4013630	7.001190e-03	5.548590e-01
MIB1	246867	325	47	520359	140154	0	22	2	0	15	16	1206645	7.259354e-03	5.729118e-01
CAPG	1067736	180	39	179914	50765	0	8	1	0	50	72	4715110	7.431631e-03	5.840643e-01
LPCAT2	119965	430	-29	279598	79733	0	12	1	0	50	69	4469521	7.596594e-03	5.889390e-01
TTC21B	100856	599	-2	691966	173453	0	20	2	0	6	7	730945	7.623173e-03	5.889390e-01
MPDZ	77490	688	-36	1044694	298058	0	31	3	0	12	19	1485462	7.657495e-03	5.889390e-01
SLCO1C1	91874	501	-24	392772	96702	0	11	1	0	19	20	1526003	7.688271e-03	5.889390e-01
DPP4	153730	528	9	412510	98903	0	13	0	0	16	21	2089246	7.723281e-03	5.889390e-01
ERAP1	394409	345	36	493734	130143	0	18	5	0	21	25	1535943	7.749377e-03	5.889390e-01
SMC6	135213	1245	1	582129	137811	0	10	2	0	50	56	3615533	7.757759e-03	5.889390e-01
ETS2	382323	151	5	245447	62125	0	14	2	0	4	3	390287	7.772092e-03	5.889390e-01
NMT2	236087	620	23	261564	67095	0	8	2	0	50	39	3836556	7.774669e-03	5.889390e-01
RICTOR	193512	336	-2	887713	236288	0	22	1	0	15	10	1058397	7.845710e-03	5.919431e-01
IFT57	289544	711	11	226277	57013	0	9	2	0	36	51	2597606	7.884398e-03	5.924921e-01
CTSO	44515	745	-2	168057	44091	0	11	1	0	12	19	1086868	7.997565e-03	5.963797e-01
GBE1	54244	720	0	368845	93152	0	14	1	0	50	65	3929992	8.010906e-03	5.963797e-01
CC2D1B	815523	448	26	438780	129717	0	17	1	0	50	64	4680249	8.030985e-03	5.963797e-01
MTF2	611888	391	16	312826	78668	0	6	1	0	50	39	4085766	8.091946e-03	5.985501e-01
RBM7	157610	477	-8	139586	34861	0	6	1	0	50	97	4649577	8.145832e-03	6.001824e-01
DKK2	48475	1014	-18	132344	36352	0	9	0	0	50	54	4074903	8.226312e-03	6.037537e-01
CHL1	25264	796	9	639994	164933	0	16	5	0	15	21	1573644	8.261740e-03	6.040036e-01
TRAF4	1695792	208	40	237779	68302	0	9	1	0	50	80	5089351	8.382848e-03	6.104914e-01
ABHD10	239044	250	10	155561	44446	0	5	0	0	50	61	4207815	8.524982e-03	6.184547e-01
ALG10	23464	1025	-29	239199	65391	0	9	1	0	17	17	1113351	8.575260e-03	6.197186e-01
DPYSL2	207566	520	26	293869	83354	0	13	2	0	35	34	2520642	8.685480e-03	6.252883e-01
IDH3A	395288	314	50	191700	51759	0	7	1	0	50	56	4188006	9.101941e-03	6.489576e-01
ITM2B	340844	457	36	139160	35713	0	9	0	0	50	79	3959031	9.173151e-03	6.489576e-01
POLR2J	642828	230	65	62267	16117	0	3	0	0	50	60	3112569	9.183219e-03	6.489576e-01
OSTF1	94966	640	7	117647	27406	0	5	0	0	50	89	5139832	9.210206e-03	6.489576e-01
TMBIM6	1828526	265	67	154709	42103	0	6	0	0	8	12	1437182	9.236858e-03	6.489576e-01
EDEM3	370601	493	4	487344	125031	0	20	3	0	8	15	964251	9.245941e-03	6.489576e-01
DNAH7	105357	518	-3	2086548	540381	0	48	3	0	1	3	616493	9.255545e-03	6.489576e-01
SLC26A2	1070181	149	44	366715	107849	0	20	2	0	50	67	4404414	9.289500e-03	6.489576e-01
